SOURCE MATERIAL,BINDER(Kg/m^3),FLY-ASH %,SLAG %,rest period hours,CURING TEMPERATURE,CURING PERIOD,NaOH/Na2SiO3,superplasticizer,extra water added,MOLARITY,ALKALINE ACTIVATOR /BINDER RATIO,COMPRESSIVE STRENGTH (MPa)
Class F Fly-Ash,430.0,1.0,0.0,24.0,60.0,24,0.4,8.6,0.0,8.0,0.45,32.5
Class F Fly-Ash,397.0,1.0,0.0,24.0,70.0,24,0.4,7.94,0.0,8.0,0.45,35.0
Class F Fly-Ash,364.0,1.0,0.0,24.0,80.0,24,0.4,7.28,0.0,8.0,0.45,37.0
Class F Fly-Ash,331.0,1.0,0.0,24.0,90.0,24,0.4,6.62,0.0,8.0,0.45,37.5
Class F Fly-Ash,298.0,1.0,0.0,24.0,100.0,24,0.4,5.96,0.0,8.0,0.45,35.0
Class F Fly-Ash,430.0,1.0,0.0,24.0,60.0,24,0.4,8.6,0.0,10.0,0.45,36.0
Class F Fly-Ash,397.0,1.0,0.0,24.0,70.0,24,0.4,7.94,0.0,10.0,0.45,36.5
Class F Fly-Ash,364.0,1.0,0.0,24.0,80.0,24,0.4,7.28,0.0,10.0,0.45,37.5
Class F Fly-Ash,331.0,1.0,0.0,24.0,90.0,24,0.4,6.62,0.0,10.0,0.45,38.0
Class F Fly-Ash,298.0,1.0,0.0,24.0,100.0,24,0.4,5.96,0.0,10.0,0.45,37.5
Class F Fly-Ash,430.0,1.0,0.0,24.0,60.0,24,0.4,8.6,0.0,12.0,0.45,39.0
Class F Fly-Ash,397.0,1.0,0.0,24.0,70.0,24,0.4,7.94,0.0,12.0,0.45,40.0
Class F Fly-Ash,364.0,1.0,0.0,24.0,80.0,24,0.4,7.28,0.0,12.0,0.45,40.5
Class F Fly-Ash,331.0,1.0,0.0,24.0,90.0,24,0.4,6.62,0.0,12.0,0.45,42.5
Class F Fly-Ash,298.0,1.0,0.0,24.0,100.0,24,0.4,5.96,0.0,12.0,0.45,41.0
Class F Fly-Ash,430.0,1.0,0.0,24.0,60.0,24,0.4,8.6,0.0,14.0,0.45,39.0
Class F Fly-Ash,397.0,1.0,0.0,24.0,70.0,24,0.4,7.94,0.0,14.0,0.45,40.0
Class F Fly-Ash,364.0,1.0,0.0,24.0,80.0,24,0.4,7.28,0.0,14.0,0.45,40.3
Class F Fly-Ash,331.0,1.0,0.0,24.0,90.0,24,0.4,6.62,0.0,14.0,0.45,41.0
Class F Fly-Ash,298.0,1.0,0.0,24.0,100.0,24,0.4,5.96,0.0,14.0,0.45,40.0
Class F Fly-Ash,427.0,1.0,0.0,0.0,40.0,24,0.4,0.0,0.0,8.0,0.35,33.86
Class F Fly-Ash,427.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,8.0,0.35,35.2
Class F Fly-Ash,427.0,1.0,0.0,0.0,80.0,24,0.4,0.0,0.0,8.0,0.35,38.17
Class F Fly-Ash,427.0,1.0,0.0,0.0,100.0,24,0.4,0.0,0.0,8.0,0.35,38.88
